src_code,trg_code,src_codingsystem,trg_codingsystem
SDS,SHK,species_asfis,speciesgroup_tunaatlas
SDV,SHK,species_asfis,speciesgroup_tunaatlas
SFA,BILLFIS,species_asfis,speciesgroup_tunaatlas
SFS,BOFOT,species_asfis,speciesgroup_tunaatlas
SHB,SHK,species_asfis,speciesgroup_tunaatlas
SHL,SHK,species_asfis,speciesgroup_tunaatlas
SHM,SCOOT,species_asfis,speciesgroup_tunaatlas
SHO,SHK,species_asfis,speciesgroup_tunaatlas
SHX,SHK,species_asfis,speciesgroup_tunaatlas
SIE,SPMA,species_asfis,speciesgroup_tunaatlas
SKH,SHK,species_asfis,speciesgroup_tunaatlas
SKJ,TUNTROP,species_asfis,speciesgroup_tunaatlas
SLT,TUNTEMP,species_asfis,speciesgroup_tunaatlas
SMA,SHK,species_asfis,speciesgroup_tunaatlas
SMD,SHK,species_asfis,speciesgroup_tunaatlas
SNK,BOFOT,species_asfis,speciesgroup_tunaatlas
SOR,SHK,species_asfis,speciesgroup_tunaatlas
SPF,BILLFIS,species_asfis,speciesgroup_tunaatlas
SPJ,SHK,species_asfis,speciesgroup_tunaatlas
SPK,SHK,species_asfis,speciesgroup_tunaatlas
SPL,SHK,species_asfis,speciesgroup_tunaatlas
SPN,SHK,species_asfis,speciesgroup_tunaatlas
SPY,SHK,species_asfis,speciesgroup_tunaatlas
SPZ,SHK,species_asfis,speciesgroup_tunaatlas
SRX,RAYS,species_asfis,speciesgroup_tunaatlas
SSM,SPMA,species_asfis,speciesgroup_tunaatlas
SSP,BILLFIS,species_asfis,speciesgroup_tunaatlas
STS,SPMA,species_asfis,speciesgroup_tunaatlas
STT,RAYS,species_asfis,speciesgroup_tunaatlas
SWA,BOFOT,species_asfis,speciesgroup_tunaatlas
SWO,BILLFIS,species_asfis,speciesgroup_tunaatlas
SYC,SHK,species_asfis,speciesgroup_tunaatlas
SYO,SHK,species_asfis,speciesgroup_tunaatlas
SYR,SHK,species_asfis,speciesgroup_tunaatlas
SYT,SHK,species_asfis,speciesgroup_tunaatlas
SYX,SHK,species_asfis,speciesgroup_tunaatlas
TCR,BOFOT,species_asfis,speciesgroup_tunaatlas
THR,SHK,species_asfis,speciesgroup_tunaatlas
TIG,SHK,species_asfis,speciesgroup_tunaatlas
TRB,SHK,species_asfis,speciesgroup_tunaatlas
TRG,BOFOT,species_asfis,speciesgroup_tunaatlas
TRI,BOFOT,species_asfis,speciesgroup_tunaatlas
TRK,SHK,species_asfis,speciesgroup_tunaatlas
TST,BOFOT,species_asfis,speciesgroup_tunaatlas
TUN,SCOOT,species_asfis,speciesgroup_tunaatlas
TUS,SCOOT,species_asfis,speciesgroup_tunaatlas
TUX,SCOOT,species_asfis,speciesgroup_tunaatlas
USE,BOFOT,species_asfis,speciesgroup_tunaatlas
WAH,SCOOT,species_asfis,speciesgroup_tunaatlas
WHM,BILLFIS,species_asfis,speciesgroup_tunaatlas
WSH,SHK,species_asfis,speciesgroup_tunaatlas
YFT,TUNTROP,species_asfis,speciesgroup_tunaatlas
YRS,BOFOT,species_asfis,speciesgroup_tunaatlas
YTC,BOFOT,species_asfis,speciesgroup_tunaatlas
YTL,BOFOT,species_asfis,speciesgroup_tunaatlas
AWI,BOFOT,species_asfis,speciesgroup_tunaatlas
BAZ,BOFOT,species_asfis,speciesgroup_tunaatlas
BEN,BOFOT,species_asfis,speciesgroup_tunaatlas
HMM,BOFOT,species_asfis,speciesgroup_tunaatlas
CWO,SHK,species_asfis,speciesgroup_tunaatlas
MOP,BOFOT,species_asfis,speciesgroup_tunaatlas
CCW,SHK,species_asfis,speciesgroup_tunaatlas
TRE,BOFOT,species_asfis,speciesgroup_tunaatlas
